                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.29435,                 0.2075,                0.79551,                0.47123,                0.46649,                0.48792,                0.31953,                 1.5263,                 1.1009,                 1.4659,             0.00017638,             0.00017638,             0.00017638
                    103,                0.30089,                0.21259,                 0.7992,                 0.5341,                0.40476,                0.48472,                 0.3133,                 1.5943,                 1.1057,                 1.4861,             0.00016712,             0.00016712,             0.00016712
                    104,                0.29929,                0.21393,                0.80069,                0.49635,                0.46605,                0.49417,                0.31941,                  1.594,                 1.0296,                  1.493,             0.00015787,             0.00015787,             0.00015787
                    105,                0.29989,                0.21309,                0.79972,                0.50182,                0.47185,                 0.4879,                0.30963,                 1.5514,                 1.0552,                  1.517,             0.00014861,             0.00014861,             0.00014861
                    106,                0.29638,                0.20837,                0.79914,                0.48091,                0.45966,                0.48842,                0.31769,                 1.5622,                 1.0754,                 1.4699,             0.00013936,             0.00013936,             0.00013936
                    107,                0.29228,                0.20612,                0.79851,                0.44618,                0.43541,                0.45805,                0.30325,                 1.5161,                 1.1068,                 1.4478,             0.00013011,             0.00013011,             0.00013011
                    108,                0.29571,                0.20828,                0.79655,                0.47101,                0.39815,                0.44286,                0.29656,                 1.5186,                 1.1432,                 1.4734,             0.00012085,             0.00012085,             0.00012085
                    109,                0.30153,                0.21303,                0.79457,                0.48957,                0.42879,                0.47626,                0.31107,                 1.5216,                 1.1609,                   1.45,              0.0001116,              0.0001116,              0.0001116
                    110,                0.28322,                0.19952,                0.79157,                0.46851,                0.45988,                0.48189,                0.30817,                 1.5168,                 1.0955,                  1.466,             0.00010235,             0.00010235,             0.00010235
                    111,                0.29573,                0.20214,                0.78904,                0.51542,                0.43541,                0.48469,                0.31616,                 1.5627,                 1.0595,                 1.5028,             9.3093e-05,             9.3093e-05,             9.3093e-05
                    112,                0.29547,                0.20115,                0.78818,                0.48641,                0.47178,                0.50108,                0.31557,                 1.5412,                 1.0969,                 1.4992,             8.3839e-05,             8.3839e-05,             8.3839e-05
                    113,                0.29864,                0.19937,                0.79177,                 0.4871,                0.45392,                 0.4919,                0.32403,                 1.5081,                 1.0984,                  1.481,             7.4585e-05,             7.4585e-05,             7.4585e-05
                    114,                0.29237,                0.19459,                0.78405,                0.51963,                 0.4418,                0.48683,                0.31806,                 1.5095,                 1.1029,                 1.4608,             6.5331e-05,             6.5331e-05,             6.5331e-05
                    115,                0.28679,                0.19156,                0.78812,                0.49506,                0.47222,                0.49488,                0.31643,                 1.5114,                 1.0702,                  1.482,             5.6078e-05,             5.6078e-05,             5.6078e-05
                    116,                0.28659,                0.19108,                0.78802,                0.50747,                0.43489,                0.48284,                0.31253,                 1.5188,                 1.0951,                 1.4982,             4.6824e-05,             4.6824e-05,             4.6824e-05
                    117,                0.28192,                0.18721,                0.78737,                 0.4799,                0.45392,                0.47803,                0.31458,                 1.5131,                  1.142,                 1.5034,              3.757e-05,              3.757e-05,              3.757e-05
                    118,                0.28209,                0.18704,                0.78626,                0.53299,                 0.4052,                0.47735,                 0.3168,                 1.5249,                 1.1365,                 1.4891,             2.8317e-05,             2.8317e-05,             2.8317e-05
                    119,                0.28267,                0.18731,                0.78978,                0.48498,                0.42328,                0.47238,                0.31588,                 1.5349,                 1.1233,                 1.4964,             1.9063e-05,             1.9063e-05,             1.9063e-05
                    120,                0.28462,                0.18824,                0.78896,                0.52587,                0.39903,                0.46858,                0.31883,                 1.5333,                 1.1237,                 1.4942,             9.8092e-06,             9.8092e-06,             9.8092e-06
